max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
0.116,-0.127,-0.011,0.243,0.048,-0.112,-0.064,0.16,0.11,-0.176,-0.066,0.286,0.084,-0.122,-0.038,0.206,0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006
0.138,-0.112,0.026,0.25,0.14,-0.148,-0.008,0.288,0.149,-0.088,0.061,0.237,0.08,-0.106,-0.026,0.186,0.001,-0.003,-0.002,0.004,0.002,-0.003,-0.001,0.005
0.077,-0.12,-0.043,0.197,-0.01,-0.15,-0.16,0.14,0.07,-0.12,-0.05,0.19,0.002,-0.004,-0.002,0.006,0.002,-0.003,-0.001,0.005,0.02,-0.133,-0.113,0.153
0.054,-0.106,-0.052,0.16,0.112,-0.072,0.04,0.184,0.002,-0.004,-0.002,0.006,0.003,-0.003,0.0,0.006,0.098,-0.078,0.02,0.176,0.08,-0.065,0.015,0.145
0.11,-0.098,0.012,0.208,0.074,-0.072,0.002,0.146,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005,0.096,-0.129,-0.033,0.225,0.105,-0.079,0.026,0.184
0.096,-0.06,0.036,0.156,0.121,-0.068,0.053,0.189,0.088,-0.067,0.021,0.155,0.075,-0.09,-0.015,0.165,0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006
0.102,-0.102,0.0,0.204,0.089,-0.176,-0.087,0.265,0.096,-0.13,-0.034,0.226,0.084,-0.083,0.001,0.167,0.002,-0.004,-0.002,0.006,0.003,-0.002,0.001,0.005
0.003,-0.002,0.001,0.005,0.003,-0.002,0.001,0.005,0.028,-0.136,-0.108,0.164,0.056,-0.086,-0.03,0.142,0.128,-0.129,-0.001,0.257,0.094,-0.161,-0.067,0.255
0.003,-0.003,0.0,0.006,0.003,-0.002,0.001,0.005,0.075,-0.088,-0.013,0.163,0.086,-0.146,-0.06,0.232,0.068,-0.132,-0.064,0.2,0.132,-0.106,0.026,0.238
0.056,-0.18,-0.124,0.236,0.098,-0.13,-0.032,0.228,0.102,-0.072,0.03,0.174,0.077,-0.085,-0.008,0.162,0.001,-0.004,-0.003,0.005,0.001,-0.003,-0.002,0.004
0.084,-0.142,-0.058,0.226,0.062,-0.088,-0.026,0.15,0.088,-0.137,-0.049,0.225,0.084,-0.18,-0.096,0.264,0.002,-0.003,-0.001,0.005,0.002,-0.003,-0.001,0.005
