max1,min1,mid1,amp1,max2,min2,mid2,amp2,max3,min3,mid3,amp3,max4,min4,mid4,amp4,max5,min5,mid5,amp5,max6,min6,mid6,amp6
1.216,-1.202,0.014,2.418,1.02,-1.0,0.02,2.02,0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006,0.832,-0.737,0.095,1.569,0.836,-0.837,-0.001,1.673
1.236,-1.276,-0.04,2.512,0.996,-0.984,0.012,1.98,0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006,0.724,-0.81,-0.086,1.534,0.787,-0.798,-0.011,1.585
1.103,-1.128,-0.025,2.231,1.417,-1.353,0.064,2.77,1.222,-1.177,0.045,2.399,1.054,-0.951,0.103,2.005,0.002,-0.003,-0.001,0.005,0.002,-0.003,-0.001,0.005
1.026,-1.06,-0.034,2.086,1.319,-1.396,-0.077,2.715,1.168,-1.26,-0.092,2.428,0.982,-0.97,0.012,1.952,0.001,-0.004,-0.003,0.005,0.002,-0.003,-0.001,0.005
1.085,-1.085,0.0,2.17,1.337,-1.333,0.004,2.67,1.182,-1.202,-0.02,2.384,0.942,-0.956,-0.014,1.898,0.0,-0.004,-0.004,0.004,0.002,-0.004,-0.002,0.006
1.172,-1.208,-0.036,2.38,0.98,-0.983,-0.003,1.963,0.001,-0.004,-0.003,0.005,0.003,-0.004,-0.001,0.007,0.69,-0.848,-0.158,1.538,0.772,-0.83,-0.058,1.602
1.274,-1.164,0.11,2.438,1.046,-0.974,0.072,2.02,0.003,-0.003,0.0,0.006,0.001,-0.004,-0.003,0.005,0.771,-0.788,-0.017,1.559,0.811,-0.784,0.027,1.595
1.222,-1.121,0.101,2.343,0.952,-0.967,-0.015,1.919,0.001,-0.004,-0.003,0.005,0.001,-0.003,-0.002,0.004,0.769,-0.711,0.058,1.48,0.822,-0.784,0.038,1.606
1.04,-1.114,-0.074,2.154,1.366,-1.381,-0.015,2.747,1.248,-1.156,0.092,2.404,0.97,-0.939,0.031,1.909,0.004,-0.003,0.001,0.007,0.002,-0.002,0.0,0.004
0.002,-0.004,-0.002,0.006,0.002,-0.004,-0.002,0.006,0.798,-0.733,0.065,1.531,0.812,-0.794,0.018,1.606,1.04,-1.072,-0.032,2.112,1.362,-1.39,-0.028,2.752
1.106,-1.175,-0.069,2.281,1.4,-1.383,0.017,2.783,1.248,-1.169,0.079,2.417,1.02,-1.062,-0.042,2.082,0.002,-0.003,-0.001,0.005,0.002,-0.002,0.0,0.004
